1,"平成28年経済センサス‐活動調査　追加集計","","","","","","","","","","","","",""
2,"","","","","","","第３表　企業産業（中分類）、経営組織（５区分）別企業等数－都道府県、市区町村","","","","","","",""
3,"","","","","","","Table 3  Enterprises, etc. and , by Industry Major Groups, and Legal Organization (5 Groups), for Prefectures and Municipalities","","","","","","",""
4,"","","","","","","","","","","","","",""
5,"","","","","","","keiso5.0000","keiso5.0001","keiso5.0002","keiso5.0003","keiso5.0004","keiso5.0005","keiso5.0006","keiso5.0007"
6,"","","","","","","0","1","2","3","3","3","2","1"
7,"","","","","","","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000"
8,"","","","","","","0","0","0","0","0","0","0","0"
9,"","","","","","","総数(経営組織)","法人","(法人)会社企業","(法人)(会社企業)株式・有限・相互会社","(法人)(会社企業)合名・合資会社","(法人)(会社企業)合同会社","(法人)会社以外の法人","個人"
10,"","","地域","","","企業産業中分類","企業等数","企業等数","企業等数","企業等数","企業等数","企業等数","企業等数","企業等数"
11,"ti.15000","1","新潟県","ksanB.0000","0","A～R 全産業（Ｓ公務を除く）",83233,36834,30385,29770,428,187,6449,46399
12,"ti.15000","1","新潟県","ksanB.0001","1","　A～B 農林漁業",1018,1018,505,499,3,3,513,-
13,"ti.15000","1","新潟県","ksanB.0002","2","　　A 農業，林業",974,974,482,476,3,3,492,-
14,"ti.15000","1","新潟県","ksanB.0003","4","　　　　01 農業",905,905,466,461,2,3,439,-
15,"ti.15000","1","新潟県","ksanB.0004","4","　　　　02 林業",69,69,16,15,1,-,53,-
16,"ti.15000","1","新潟県","ksanB.0005","2","　　B 漁業",42,42,23,23,-,-,19,-
17,"ti.15000","1","新潟県","ksanB.0006","4","　　　　03 漁業（水産養殖業を除く）",17,17,9,9,-,-,8,-
18,"ti.15000","1","新潟県","ksanB.0007","4","　　　　04 水産養殖業",25,25,14,14,-,-,11,-
19,"ti.15000","1","新潟県","ksanB.0008","1","　C～R 非農林漁業（Ｓ公務を除く）",82215,35816,29880,29271,425,184,5936,46399
20,"ti.15000","1","新潟県","ksanB.0009","2","　　C 鉱業，採石業，砂利採取業",51,46,37,36,1,-,9,5
21,"ti.15000","1","新潟県","ksanB.0010","4","　　　　05 鉱業，採石業，砂利採取業",51,46,37,36,1,-,9,5
22,"ti.15000","1","新潟県","ksanB.0011","2","　　D 建設業",11930,6555,6544,6504,25,15,11,5375
23,"ti.15000","1","新潟県","ksanB.0012","4","　　　　06 総合工事業",5067,3265,3261,3244,9,8,4,1802
24,"ti.15000","1","新潟県","ksanB.0013","4","　　　　07 職別工事業（設備工事業を除く）",4507,1747,1744,1731,9,4,3,2760
25,"ti.15000","1","新潟県","ksanB.0014","4","　　　　08 設備工事業",2354,1541,1537,1527,7,3,4,813
26,"ti.15000","1","新潟県","ksanB.0015","2","　　E 製造業",9819,5600,5543,5483,50,10,57,4219
27,"ti.15000","1","新潟県","ksanB.0016","4","　　　　09 食料品製造業",968,611,589,567,18,4,22,357
