1,"平成28年経済センサス‐活動調査　追加集計","","","","","","","","","","","","",""
2,"","","","","","","第３表　企業産業（中分類）、経営組織（５区分）別企業等数－都道府県、市区町村","","","","","","",""
3,"","","","","","","Table 3  Enterprises, etc. and , by Industry Major Groups, and Legal Organization (5 Groups), for Prefectures and Municipalities","","","","","","",""
4,"","","","","","","","","","","","","",""
5,"","","","","","","keiso5.0000","keiso5.0001","keiso5.0002","keiso5.0003","keiso5.0004","keiso5.0005","keiso5.0006","keiso5.0007"
6,"","","","","","","0","1","2","3","3","3","2","1"
7,"","","","","","","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000"
8,"","","","","","","0","0","0","0","0","0","0","0"
9,"","","","","","","総数(経営組織)","法人","(法人)会社企業","(法人)(会社企業)株式・有限・相互会社","(法人)(会社企業)合名・合資会社","(法人)(会社企業)合同会社","(法人)会社以外の法人","個人"
10,"","","地域","","","企業産業中分類","企業等数","企業等数","企業等数","企業等数","企業等数","企業等数","企業等数","企業等数"
11,"ti.12000","1","千葉県","ksanB.0000","0","A～R 全産業（Ｓ公務を除く）",128794,66781,59669,58727,419,523,7112,62013
12,"ti.12000","1","千葉県","ksanB.0001","1","　A～B 農林漁業",806,806,664,658,4,2,142,-
13,"ti.12000","1","千葉県","ksanB.0002","2","　　A 農業，林業",766,766,630,625,3,2,136,-
14,"ti.12000","1","千葉県","ksanB.0003","4","　　　　01 農業",753,753,621,616,3,2,132,-
15,"ti.12000","1","千葉県","ksanB.0004","4","　　　　02 林業",13,13,9,9,-,-,4,-
16,"ti.12000","1","千葉県","ksanB.0005","2","　　B 漁業",39,39,33,32,1,-,6,-
17,"ti.12000","1","千葉県","ksanB.0006","4","　　　　03 漁業（水産養殖業を除く）",32,32,31,30,1,-,1,-
18,"ti.12000","1","千葉県","ksanB.0007","4","　　　　04 水産養殖業",7,7,2,2,-,-,5,-
19,"ti.12000","1","千葉県","ksanB.0008","1","　C～R 非農林漁業（Ｓ公務を除く）",127988,65975,59005,58069,415,521,6970,62013
20,"ti.12000","1","千葉県","ksanB.0009","2","　　C 鉱業，採石業，砂利採取業",38,35,33,33,-,-,2,3
21,"ti.12000","1","千葉県","ksanB.0010","4","　　　　05 鉱業，採石業，砂利採取業",38,35,33,33,-,-,2,3
22,"ti.12000","1","千葉県","ksanB.0011","2","　　D 建設業",17285,12690,12672,12638,16,18,18,4595
23,"ti.12000","1","千葉県","ksanB.0012","4","　　　　06 総合工事業",6949,5388,5381,5375,4,2,7,1561
24,"ti.12000","1","千葉県","ksanB.0013","4","　　　　07 職別工事業（設備工事業を除く）",6028,3781,3778,3765,8,5,3,2247
25,"ti.12000","1","千葉県","ksanB.0014","4","　　　　08 設備工事業",4304,3518,3510,3495,4,11,8,786
26,"ti.12000","1","千葉県","ksanB.0015","2","　　E 製造業",8381,6088,6072,6019,40,13,16,2293
27,"ti.12000","1","千葉県","ksanB.0016","4","　　　　09 食料品製造業",1125,786,778,765,12,1,8,339
