1,"平成28年経済センサス‐活動調査　追加集計","","","","","","","","","","","","","","","",""
2,"","","","","","","第１表　産業（中分類）、常用雇用者規模（10区分）別民営事業所数－市区町村","","","","","","","","","",""
3,"","","","","","","Table 1  Establishments, by Industry Major Groups and Size of Regular Employees (10 Groups), for Municipalities - Privately Owned  ","","","","","","","","","",""
4,"","","","","","","","","","","","","","","","",""
5,"","","","","","","joyokibo10.0000","joyokibo10.0001","joyokibo10.0002","joyokibo10.0003","joyokibo10.0004","joyokibo10.0005","joyokibo10.0006","joyokibo10.0007","joyokibo10.0008","joyokibo10.0009","joyokibo10.0010"
6,"","","","","","","0","1","1","1","1","1","1","1","1","1","1"
7,"","","","","","","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000"
8,"","","","","","","0","0","0","0","0","0","0","0","0","0","0"
9,"","","","","","","総数(常用雇用者規模)","0人","1～4人","5～9人","10～19人","20～29人","30～49人","50～99人","100～199人","200～299人","300人以上"
10,"","","地域","","","産業中分類","事業所数","事業所数","事業所数","事業所数","事業所数","事業所数","事業所数","事業所数","事業所数","事業所数","事業所数"
11,"ti.05201","4","秋田市","sanB.0000","0","A～R 全産業（Ｓ公務を除く）",14983,4203,5462,2408,1567,542,412,253,93,21,22
12,"ti.05201","4","秋田市","sanB.0001","1","　A～B 農林漁業",65,13,35,6,7,3,1,-,-,-,-
13,"ti.05201","4","秋田市","sanB.0002","2","　　A 農業，林業",62,11,34,6,7,3,1,-,-,-,-
14,"ti.05201","4","秋田市","sanB.0003","4","　　　　01 農業",44,8,28,4,3,1,-,-,-,-,-
15,"ti.05201","4","秋田市","sanB.0004","4","　　　　02 林業",18,3,6,2,4,2,1,-,-,-,-
16,"ti.05201","4","秋田市","sanB.0005","2","　　B 漁業",2,2,-,-,-,-,-,-,-,-,-
17,"ti.05201","4","秋田市","sanB.0006","4","　　　　03 漁業（水産養殖業を除く）",-,-,-,-,-,-,-,-,-,-,-
18,"ti.05201","4","秋田市","sanB.0007","4","　　　　04 水産養殖業",2,2,-,-,-,-,-,-,-,-,-
19,"ti.05201","4","秋田市","sanB.0008","1","　C～R 非農林漁業（Ｓ公務を除く）",14918,4190,5427,2402,1560,539,411,253,93,21,22
20,"ti.05201","4","秋田市","sanB.0009","2","　　C 鉱業，採石業，砂利採取業",5,1,2,1,-,-,1,-,-,-,-
21,"ti.05201","4","秋田市","sanB.0010","4","　　　　05 鉱業，採石業，砂利採取業",5,1,2,1,-,-,1,-,-,-,-
22,"ti.05201","4","秋田市","sanB.0011","2","　　D 建設業",1421,308,573,277,176,52,23,11,1,-,-
23,"ti.05201","4","秋田市","sanB.0012","4","　　　　06 総合工事業",570,106,226,116,80,23,15,4,-,-,-
24,"ti.05201","4","秋田市","sanB.0013","4","　　　　07 職別工事業（設備工事業を除く）",426,130,189,64,35,8,-,-,-,-,-
25,"ti.05201","4","秋田市","sanB.0014","4","　　　　08 設備工事業",425,72,158,97,61,21,8,7,1,-,-
26,"ti.05201","4","秋田市","sanB.0015","2","　　E 製造業",539,114,172,75,67,29,32,25,18,3,4
27,"ti.05201","4","秋田市","sanB.0016","4","　　　　09 食料品製造業",89,11,32,14,10,5,5,5,5,1,1
28,"ti.05201","4","秋田市","sanB.0017","4","　　　　10 飲料・たばこ・飼料製造業",16,2,4,7,1,-,1,-,1,-,-
29,"ti.05201","4","秋田市","sanB.0018","4","　　　　11 繊維工業",22,6,5,2,3,3,1,1,-,1,-
30,"ti.05201","4","秋田市","sanB.0019","4","　　　　12 木材・木製品製造業（家具を除く）",27,4,6,3,3,4,2,3,2,-,-
31,"ti.05201","4","秋田市","sanB.0020","4","　　　　13 家具・装備品製造業",36,15,19,2,-,-,-,-,-,-,-
