1,"平成28年経済センサス‐活動調査　追加集計","","","","","","","","","","","","","","","",""
2,"","","","","","","第１表　産業（中分類）、常用雇用者規模（10区分）別民営事業所数－市区町村","","","","","","","","","",""
3,"","","","","","","Table 1  Establishments, by Industry Major Groups and Size of Regular Employees (10 Groups), for Municipalities - Privately Owned  ","","","","","","","","","",""
4,"","","","","","","","","","","","","","","","",""
5,"","","","","","","joyokibo10.0000","joyokibo10.0001","joyokibo10.0002","joyokibo10.0003","joyokibo10.0004","joyokibo10.0005","joyokibo10.0006","joyokibo10.0007","joyokibo10.0008","joyokibo10.0009","joyokibo10.0010"
6,"","","","","","","0","1","1","1","1","1","1","1","1","1","1"
7,"","","","","","","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000"
8,"","","","","","","0","0","0","0","0","0","0","0","0","0","0"
9,"","","","","","","総数(常用雇用者規模)","0人","1～4人","5～9人","10～19人","20～29人","30～49人","50～99人","100～199人","200～299人","300人以上"
10,"","","地域","","","産業中分類","事業所数","事業所数","事業所数","事業所数","事業所数","事業所数","事業所数","事業所数","事業所数","事業所数","事業所数"
11,"ti.16201","4","富山市","sanB.0000","0","A～R 全産業（Ｓ公務を除く）",20359,5227,7782,3243,2123,760,573,412,159,36,44
12,"ti.16201","4","富山市","sanB.0001","1","　A～B 農林漁業",96,16,41,17,14,4,1,2,-,1,-
13,"ti.16201","4","富山市","sanB.0002","2","　　A 農業，林業",88,15,40,15,11,3,1,2,-,1,-
14,"ti.16201","4","富山市","sanB.0003","4","　　　　01 農業",79,14,36,13,11,3,-,1,-,1,-
15,"ti.16201","4","富山市","sanB.0004","4","　　　　02 林業",9,1,4,2,-,-,1,1,-,-,-
16,"ti.16201","4","富山市","sanB.0005","2","　　B 漁業",8,1,1,2,3,1,-,-,-,-,-
17,"ti.16201","4","富山市","sanB.0006","4","　　　　03 漁業（水産養殖業を除く）",6,1,-,1,3,1,-,-,-,-,-
18,"ti.16201","4","富山市","sanB.0007","4","　　　　04 水産養殖業",2,-,1,1,-,-,-,-,-,-,-
19,"ti.16201","4","富山市","sanB.0008","1","　C～R 非農林漁業（Ｓ公務を除く）",20263,5211,7741,3226,2109,756,572,410,159,35,44
20,"ti.16201","4","富山市","sanB.0009","2","　　C 鉱業，採石業，砂利採取業",8,-,4,3,1,-,-,-,-,-,-
21,"ti.16201","4","富山市","sanB.0010","4","　　　　05 鉱業，採石業，砂利採取業",8,-,4,3,1,-,-,-,-,-,-
22,"ti.16201","4","富山市","sanB.0011","2","　　D 建設業",2204,513,944,384,232,65,39,20,6,1,-
23,"ti.16201","4","富山市","sanB.0012","4","　　　　06 総合工事業",848,153,356,168,113,29,20,6,3,-,-
24,"ti.16201","4","富山市","sanB.0013","4","　　　　07 職別工事業（設備工事業を除く）",700,231,302,103,44,13,4,3,-,-,-
25,"ti.16201","4","富山市","sanB.0014","4","　　　　08 設備工事業",656,129,286,113,75,23,15,11,3,1,-
26,"ti.16201","4","富山市","sanB.0015","2","　　E 製造業",1454,250,419,243,191,100,87,79,50,16,19
27,"ti.16201","4","富山市","sanB.0016","4","　　　　09 食料品製造業",152,18,37,34,25,14,7,9,7,1,-
28,"ti.16201","4","富山市","sanB.0017","4","　　　　10 飲料・たばこ・飼料製造業",15,-,2,6,2,3,1,-,1,-,-
29,"ti.16201","4","富山市","sanB.0018","4","　　　　11 繊維工業",47,18,11,4,9,2,1,2,-,-,-
30,"ti.16201","4","富山市","sanB.0019","4","　　　　12 木材・木製品製造業（家具を除く）",37,6,15,8,4,1,2,1,-,-,-
31,"ti.16201","4","富山市","sanB.0020","4","　　　　13 家具・装備品製造業",66,25,28,5,5,1,1,1,-,-,-
