1,"平成28年経済センサス‐活動調査　追加集計","","","","","","","","","","","","","","","",""
2,"","","","","","","第１表　産業（中分類）、常用雇用者規模（10区分）別民営事業所数－市区町村","","","","","","","","","",""
3,"","","","","","","Table 1  Establishments, by Industry Major Groups and Size of Regular Employees (10 Groups), for Municipalities - Privately Owned  ","","","","","","","","","",""
4,"","","","","","","","","","","","","","","","",""
5,"","","","","","","joyokibo10.0000","joyokibo10.0001","joyokibo10.0002","joyokibo10.0003","joyokibo10.0004","joyokibo10.0005","joyokibo10.0006","joyokibo10.0007","joyokibo10.0008","joyokibo10.0009","joyokibo10.0010"
6,"","","","","","","0","1","1","1","1","1","1","1","1","1","1"
7,"","","","","","","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000"
8,"","","","","","","0","0","0","0","0","0","0","0","0","0","0"
9,"","","","","","","総数(常用雇用者規模)","0人","1～4人","5～9人","10～19人","20～29人","30～49人","50～99人","100～199人","200～299人","300人以上"
10,"","","地域","","","産業中分類","事業所数","事業所数","事業所数","事業所数","事業所数","事業所数","事業所数","事業所数","事業所数","事業所数","事業所数"
11,"ti.17201","4","金沢市","sanB.0000","0","A～R 全産業（Ｓ公務を除く）",26268,6913,10208,4183,2648,985,670,419,159,37,46
12,"ti.17201","4","金沢市","sanB.0001","1","　A～B 農林漁業",68,8,30,21,6,2,1,-,-,-,-
13,"ti.17201","4","金沢市","sanB.0002","2","　　A 農業，林業",57,8,26,15,5,2,1,-,-,-,-
14,"ti.17201","4","金沢市","sanB.0003","4","　　　　01 農業",49,6,25,11,4,2,1,-,-,-,-
15,"ti.17201","4","金沢市","sanB.0004","4","　　　　02 林業",8,2,1,4,1,-,-,-,-,-,-
16,"ti.17201","4","金沢市","sanB.0005","2","　　B 漁業",11,-,4,6,1,-,-,-,-,-,-
17,"ti.17201","4","金沢市","sanB.0006","4","　　　　03 漁業（水産養殖業を除く）",10,-,3,6,1,-,-,-,-,-,-
18,"ti.17201","4","金沢市","sanB.0007","4","　　　　04 水産養殖業",1,-,1,-,-,-,-,-,-,-,-
19,"ti.17201","4","金沢市","sanB.0008","1","　C～R 非農林漁業（Ｓ公務を除く）",26200,6905,10178,4162,2642,983,669,419,159,37,46
20,"ti.17201","4","金沢市","sanB.0009","2","　　C 鉱業，採石業，砂利採取業",6,1,3,1,1,-,-,-,-,-,-
21,"ti.17201","4","金沢市","sanB.0010","4","　　　　05 鉱業，採石業，砂利採取業",6,1,3,1,1,-,-,-,-,-,-
22,"ti.17201","4","金沢市","sanB.0011","2","　　D 建設業",2327,509,1047,397,217,75,52,20,7,3,-
23,"ti.17201","4","金沢市","sanB.0012","4","　　　　06 総合工事業",943,179,406,174,109,36,24,12,1,2,-
24,"ti.17201","4","金沢市","sanB.0013","4","　　　　07 職別工事業（設備工事業を除く）",719,211,324,113,45,14,11,1,-,-,-
25,"ti.17201","4","金沢市","sanB.0014","4","　　　　08 設備工事業",665,119,317,110,63,25,17,7,6,1,-
26,"ti.17201","4","金沢市","sanB.0015","2","　　E 製造業",1911,485,748,269,199,85,52,42,20,3,8
27,"ti.17201","4","金沢市","sanB.0016","4","　　　　09 食料品製造業",259,36,86,34,40,26,18,10,7,1,1
28,"ti.17201","4","金沢市","sanB.0017","4","　　　　10 飲料・たばこ・飼料製造業",11,1,5,2,2,-,-,-,1,-,-
29,"ti.17201","4","金沢市","sanB.0018","4","　　　　11 繊維工業",179,67,73,15,12,4,1,5,2,-,-
30,"ti.17201","4","金沢市","sanB.0019","4","　　　　12 木材・木製品製造業（家具を除く）",46,20,14,4,6,2,-,-,-,-,-
31,"ti.17201","4","金沢市","sanB.0020","4","　　　　13 家具・装備品製造業",150,62,67,19,2,-,-,-,-,-,-
