1,"平成28年経済センサス‐活動調査　追加集計","","","","","","","","","","","","","","","",""
2,"","","","","","","第１表　産業（中分類）、常用雇用者規模（10区分）別民営事業所数－市区町村","","","","","","","","","",""
3,"","","","","","","Table 1  Establishments, by Industry Major Groups and Size of Regular Employees (10 Groups), for Municipalities - Privately Owned  ","","","","","","","","","",""
4,"","","","","","","","","","","","","","","","",""
5,"","","","","","","joyokibo10.0000","joyokibo10.0001","joyokibo10.0002","joyokibo10.0003","joyokibo10.0004","joyokibo10.0005","joyokibo10.0006","joyokibo10.0007","joyokibo10.0008","joyokibo10.0009","joyokibo10.0010"
6,"","","","","","","0","1","1","1","1","1","1","1","1","1","1"
7,"","","","","","","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000","jsyu1.0000"
8,"","","","","","","0","0","0","0","0","0","0","0","0","0","0"
9,"","","","","","","総数(常用雇用者規模)","0人","1～4人","5～9人","10～19人","20～29人","30～49人","50～99人","100～199人","200～299人","300人以上"
10,"","","地域","","","産業中分類","事業所数","事業所数","事業所数","事業所数","事業所数","事業所数","事業所数","事業所数","事業所数","事業所数","事業所数"
11,"ti.14100","2","横浜市","sanB.0000","0","A～R 全産業（Ｓ公務を除く）",114930,25839,42095,19265,13766,5730,4213,2346,1020,288,368
12,"ti.14100","2","横浜市","sanB.0001","1","　A～B 農林漁業",163,39,78,29,11,3,1,2,-,-,-
13,"ti.14100","2","横浜市","sanB.0002","2","　　A 農業，林業",163,39,78,29,11,3,1,2,-,-,-
14,"ti.14100","2","横浜市","sanB.0003","4","　　　　01 農業",157,37,74,29,11,3,1,2,-,-,-
15,"ti.14100","2","横浜市","sanB.0004","4","　　　　02 林業",6,2,4,-,-,-,-,-,-,-,-
16,"ti.14100","2","横浜市","sanB.0005","2","　　B 漁業",-,-,-,-,-,-,-,-,-,-,-
17,"ti.14100","2","横浜市","sanB.0006","4","　　　　03 漁業（水産養殖業を除く）",-,-,-,-,-,-,-,-,-,-,-
18,"ti.14100","2","横浜市","sanB.0007","4","　　　　04 水産養殖業",-,-,-,-,-,-,-,-,-,-,-
19,"ti.14100","2","横浜市","sanB.0008","1","　C～R 非農林漁業（Ｓ公務を除く）",114767,25800,42017,19236,13755,5727,4212,2344,1020,288,368
20,"ti.14100","2","横浜市","sanB.0009","2","　　C 鉱業，採石業，砂利採取業",-,-,-,-,-,-,-,-,-,-,-
21,"ti.14100","2","横浜市","sanB.0010","4","　　　　05 鉱業，採石業，砂利採取業",-,-,-,-,-,-,-,-,-,-,-
22,"ti.14100","2","横浜市","sanB.0011","2","　　D 建設業",10713,2266,4867,1887,994,335,204,105,34,13,8
23,"ti.14100","2","横浜市","sanB.0012","4","　　　　06 総合工事業",4010,788,1788,738,400,134,75,55,20,8,4
24,"ti.14100","2","横浜市","sanB.0013","4","　　　　07 職別工事業（設備工事業を除く）",3541,908,1644,557,295,81,42,13,1,-,-
25,"ti.14100","2","横浜市","sanB.0014","4","　　　　08 設備工事業",3155,568,1433,590,298,120,87,37,13,5,4
26,"ti.14100","2","横浜市","sanB.0015","2","　　E 製造業",6271,1187,2380,993,713,334,274,186,107,37,60
27,"ti.14100","2","横浜市","sanB.0016","4","　　　　09 食料品製造業",382,44,86,54,57,24,42,37,19,6,13
28,"ti.14100","2","横浜市","sanB.0017","4","　　　　10 飲料・たばこ・飼料製造業",30,3,11,4,3,2,3,1,2,1,-
29,"ti.14100","2","横浜市","sanB.0018","4","　　　　11 繊維工業",247,92,89,35,17,10,2,2,-,-,-
30,"ti.14100","2","横浜市","sanB.0019","4","　　　　12 木材・木製品製造業（家具を除く）",50,11,19,7,10,1,-,2,-,-,-
