1,"平成28年経済センサス‐活動調査　追加集計","","","","","","","","","","","","",""
2,"","","","","","","第３表　企業産業（中分類）、経営組織（５区分）別企業等数－都道府県、市区町村","","","","","","",""
3,"","","","","","","Table 3  Enterprises, etc. and , by Industry Major Groups, and Legal Organization (5 Groups), for Prefectures and Municipalities","","","","","","",""
4,"","","","","","","","","","","","","",""
5,"","","","","","","keiso5.0000","keiso5.0001","keiso5.0002","keiso5.0003","keiso5.0004","keiso5.0005","keiso5.0006","keiso5.0007"
6,"","","","","","","0","1","2","3","3","3","2","1"
7,"","","","","","","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000"
8,"","","","","","","0","0","0","0","0","0","0","0"
9,"","","","","","","総数(経営組織)","法人","(法人)会社企業","(法人)(会社企業)株式・有限・相互会社","(法人)(会社企業)合名・合資会社","(法人)(会社企業)合同会社","(法人)会社以外の法人","個人"
10,"","","地域","","","企業産業中分類","企業等数","企業等数","企業等数","企業等数","企業等数","企業等数","企業等数","企業等数"
56,"ti.04000","1","宮城県","ksanB.0045","2","　　G 情報通信業",505,473,465,452,3,10,8,32
57,"ti.04000","1","宮城県","ksanB.0046","3","　　　G1 情報通信業（通信業，放送業，映像・音声・文字情報制作業）",168,143,141,135,1,5,2,25
58,"ti.04000","1","宮城県","ksanB.0047","4","　　　　37 通信業",26,19,19,19,-,-,-,7
59,"ti.04000","1","宮城県","ksanB.0048","4","　　　　38 放送業",17,17,15,15,-,-,2,-
60,"ti.04000","1","宮城県","ksanB.0049","4","　　　　41 映像・音声・文字情報制作業",125,107,107,101,1,5,-,18
61,"ti.04000","1","宮城県","ksanB.0050","3","　　　G2 情報通信業（情報サービス業，インターネット附随サービス業）",337,330,324,317,2,5,6,7
62,"ti.04000","1","宮城県","ksanB.0051","4","　　　　39 情報サービス業",273,271,268,264,1,3,3,2
63,"ti.04000","1","宮城県","ksanB.0052","4","　　　　40 インターネット附随サービス業",63,58,55,52,1,2,3,5
64,"ti.04000","1","宮城県","ksanB.0053","2","　　H 運輸業，郵便業",1475,1052,1029,1020,2,7,23,423
65,"ti.04000","1","宮城県","ksanB.0054","4","　　　　42 鉄道業",9,9,8,8,-,-,1,-
66,"ti.04000","1","宮城県","ksanB.0055","4","　　　　43 道路旅客運送業",541,226,223,220,1,2,3,315
67,"ti.04000","1","宮城県","ksanB.0056","4","　　　　44 道路貨物運送業",784,685,681,675,1,5,4,99
68,"ti.04000","1","宮城県","ksanB.0057","4","　　　　45 水運業",19,15,14,14,-,-,1,4
69,"ti.04000","1","宮城県","ksanB.0058","4","　　　　46 航空運輸業",1,1,1,1,-,-,-,-
70,"ti.04000","1","宮城県","ksanB.0059","4","　　　　47 倉庫業",42,42,39,39,-,-,3,-
71,"ti.04000","1","宮城県","ksanB.0060","4","　　　　48 運輸に附帯するサービス業",77,72,61,61,-,-,11,5
