1,"平成28年経済センサス‐活動調査　追加集計","","","","","","","","","","","","",""
2,"","","","","","","第３表　企業産業（中分類）、経営組織（５区分）別企業等数－都道府県、市区町村","","","","","","",""
3,"","","","","","","Table 3  Enterprises, etc. and , by Industry Major Groups, and Legal Organization (5 Groups), for Prefectures and Municipalities","","","","","","",""
4,"","","","","","","","","","","","","",""
5,"","","","","","","keiso5.0000","keiso5.0001","keiso5.0002","keiso5.0003","keiso5.0004","keiso5.0005","keiso5.0006","keiso5.0007"
6,"","","","","","","0","1","2","3","3","3","2","1"
7,"","","","","","","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000"
8,"","","","","","","0","0","0","0","0","0","0","0"
9,"","","","","","","総数(経営組織)","法人","(法人)会社企業","(法人)(会社企業)株式・有限・相互会社","(法人)(会社企業)合名・合資会社","(法人)(会社企業)合同会社","(法人)会社以外の法人","個人"
10,"","","地域","","","企業産業中分類","企業等数","企業等数","企業等数","企業等数","企業等数","企業等数","企業等数","企業等数"
11,"ti.05000","1","秋田県","ksanB.0000","0","A～R 全産業（Ｓ公務を除く）",36036,14182,11550,11007,434,109,2632,21854
12,"ti.05000","1","秋田県","ksanB.0001","1","　A～B 農林漁業",619,619,278,262,10,6,341,-
13,"ti.05000","1","秋田県","ksanB.0002","2","　　A 農業，林業",590,590,261,248,7,6,329,-
14,"ti.05000","1","秋田県","ksanB.0003","4","　　　　01 農業",495,495,196,186,5,5,299,-
15,"ti.05000","1","秋田県","ksanB.0004","4","　　　　02 林業",95,95,65,62,2,1,30,-
16,"ti.05000","1","秋田県","ksanB.0005","2","　　B 漁業",28,28,16,13,3,-,12,-
17,"ti.05000","1","秋田県","ksanB.0006","4","　　　　03 漁業（水産養殖業を除く）",15,15,12,10,2,-,3,-
18,"ti.05000","1","秋田県","ksanB.0007","4","　　　　04 水産養殖業",13,13,4,3,1,-,9,-
19,"ti.05000","1","秋田県","ksanB.0008","1","　C～R 非農林漁業（Ｓ公務を除く）",35417,13563,11272,10745,424,103,2291,21854
20,"ti.05000","1","秋田県","ksanB.0009","2","　　C 鉱業，採石業，砂利採取業",27,27,26,26,-,-,1,-
21,"ti.05000","1","秋田県","ksanB.0010","4","　　　　05 鉱業，採石業，砂利採取業",27,27,26,26,-,-,1,-
22,"ti.05000","1","秋田県","ksanB.0011","2","　　D 建設業",4868,2550,2545,2511,25,9,5,2318
23,"ti.05000","1","秋田県","ksanB.0012","4","　　　　06 総合工事業",2123,1401,1401,1384,13,4,-,722
24,"ti.05000","1","秋田県","ksanB.0013","4","　　　　07 職別工事業（設備工事業を除く）",1785,570,570,566,2,2,-,1215
25,"ti.05000","1","秋田県","ksanB.0014","4","　　　　08 設備工事業",960,579,574,561,10,3,5,381
26,"ti.05000","1","秋田県","ksanB.0015","2","　　E 製造業",2899,1630,1596,1530,57,9,34,1269
27,"ti.05000","1","秋田県","ksanB.0016","4","　　　　09 食料品製造業",550,281,267,244,22,1,14,269
